ciudadid,nombre,provincia,latitud,longitud,zona_horaria
1,Abanin,,,,
2,Abdon Calderon,,,,
3,Abdon Calderon,,,,
4,Abdon Calderon,,,,
5,Acacia,,,,
6,Achiote,,,,
7,Achiote,,,,
8,Achote,,,,
9,Achuentza,,,,
10,Achuntza,,,,
11,Achupallas,,,,
12,Achupallas,,,,
13,Achupallas,,,,
14,Africa,,,,
15,Africa,,,,
16,Agoyan,,,,
17,Agua Blanca,,,,
18,Agua Caliente,,,,
19,Agua Fria,,,,
20,Agua Fria,,,,
21,Aguacatal,,,,
22,Aguacatal,,,,
23,Aguada,,,,
24,Aguadita,,,,
25,Aguahedionda,,,,
26,Aguapiedra,,,,
27,Aguarico,,,,
28,Aguarico,,,,
29,Aguarico Tres,,,,
30,Aguas Aires,,,,
31,Aguas Blancas,,,,
32,Aguas Blancas,,,,
33,Aguas Blancas Chico,,,,
34,Aguas Verdes,,,,
35,Aguas Verdes,,,,
36,Aguel,,,,
37,Aguirre,,,,
38,Ahuaca Del Carmen,,,,
39,Ahuano,,,,
40,Aichabug,,,,
41,Ajilanga,,,,
42,Ajoshuaico,,,,
43,Alamor,,,,
44,Alangasi,,,,
45,Alao,,,,
46,Alaquez,,,,
47,Alaspungo,,,,
48,Alausi,,,,
49,Alborada,,,,
50,Albornoz,,,,
51,Alegria,,,,
52,Alfaro,,,,
53,Alfredo Baquerizo Moreno,,,,
54,Algarrobal,,,,
55,Algarrobillo,,,,
56,Algarrobos,,,,
57,Algodonal,,,,
58,Algodonal,,,,
59,Algodonal,,,,
60,Alhajuela,,,,
61,Allpacruz,,,,
62,Alluriquin,,,,
63,Aloag,,,,
64,Aloasi,,,,
65,Alobamba,,,,
66,Aloburo,,,,
67,Alpachaca,,,,
68,Alshi,,,,
69,Altamar,,,,
70,Altar Urco,,,,
71,Alto Tambo,,,,
72,Alubushco,,,,
73,Alumbre,,,,
74,Alusaca,,,,
75,Alvarado,,,,
76,Alvarez,,,,
77,Amaguana,,,,
78,Amalia,,,,
79,Amalia,,,,
80,Amalia,,,,
81,Amalia Moncada,,,,
82,Amaluza,,,,
83,Amaluza,,,,
84,Amancayes,,,,
85,Amashara,,,,
86,Amazonas,,,,
87,Amazonas,,,,
88,Ambabaqui,,,,
89,Ambatillo,,,,
90,Ambato,,,,
91,Ambuqui,,,,
92,Amelia,,,,
93,Amelia,,,,
94,America,,,,
95,America,,,,
96,America,,,,
97,America,,,,
98,Ana,,,,
99,Ana Maria,,,,
100,Anangu,,,,
101,Anasque,,,,
102,Ancayacu,,,,
103,Anchamasa,,,,
104,Anchayacu,,,,
105,Ancon,,,,
106,Ancon,,,,
107,Anconcito,,,,
108,Andarriales,,,,
109,Andignato,,,,
110,Andoas,,,,
111,Andrade Marin,,,,
112,Angamarca,,,,
113,Angamarcalle,,,,
114,Angapamba,,,,
115,Angas,,,,
116,Angas,,,,
117,Angashco,,,,
118,Angasmayo,,,,
119,Angela Maria,,,,
120,Angelica,,,,
121,Angelica,,,,
122,Angelina,,,,
123,Angelita,,,,
124,Angelita,,,,
125,Angochagua,,,,
126,Angostura,,,,
127,Anguasha,,,,
128,Animas,,,,
129,Ankuash,,,,
130,Anona,,,,
131,Antisana,,,,
132,Antonio Jose Holguin,,,,
133,Antonio Sotomayor,,,,
134,Apagua,,,,
135,Apatug,,,,
136,Apuela,,,,
137,Arajuno,,,,
138,Arapicos,,,,
139,Arcadia,,,,
140,Archidona,,,,
141,Archiras,,,,
142,Arcos,,,,
143,Arenal,,,,
144,Arenillas,,,,
145,Arias,,,,
146,Ario,,,,
147,Arizaga,,,,
148,Armenia,,,,
149,Aromo,,,,
150,Arquillo,,,,
151,Arrastradero,,,,
152,Arrayan,,,,
153,Arrayan,,,,
154,Arrayan,,,,
155,Arrayan Dormido,,,,
156,Arrayancucho,,,,
157,Arres,,,,
158,Arrozal,,,,
159,Arrozal,,,,
160,Artilleria,,,,
161,Arvida,,,,
162,Asavo,,,,
163,Ascazubi,,,,
164,Ascazubi Alto,,,,
165,Ascension,,,,
166,Asuncion,,,,
167,Asuncion,,,,
168,Asuncion,,,,
169,Atacames,,,,
170,Atacmes,,,,
171,Atahualpa,,,,
172,Atahualpa,,,,
173,Atahualpa,,,,
174,Atahualpa,,,,
175,Atahualpa,,,,
176,Atar,,,,
177,Atilio,,,,
178,Ato De La Virgen,,,,
179,Atocha,,,,
180,Atravesado,,,,
181,Atravesao,,,,
182,Atuhuaycu,,,,
183,Atuntaqui,,,,
184,Aucayacu,,,,
185,Augusto N. Martinez,,,,
186,Aurora,,,,
187,Aurora,,,,
188,Aurora,,,,
189,Avanin Chico,,,,
190,Avila,,,,
191,Avila,,,,
192,Ayacucho,,,,
193,Ayampe,,,,
194,Ayamu,,,,
195,Ayancay,,,,
196,Ayangue,,,,
197,Ayapamba,,,,
198,Ayapamba,,,,
199,Ayapamba,,,,
